2019-05-19 18:19:00
sign_sgd_majority_one-point_log-reg_fix-step_20_20,0_1
it: 0, loss: 33714.65929296417, stepsize: 20.0
it: 1, loss: 19615.020713566915, stepsize: 20.0
it: 2, loss: 9958.926454840732, stepsize: 20.0
it: 3, loss: 3827.0154391268597, stepsize: 20.0
it: 4, loss: 1346.861135667315, stepsize: 20.0
it: 5, loss: 842.9681699512817, stepsize: 20.0
it: 6, loss: 1346.861135667315, stepsize: 18.0
it: 7, loss: 640.0903897966051, stepsize: 18.0
it: 8, loss: 1153.8967893741542, stepsize: 16.200000000000003
it: 9, loss: 485.5857438159907, stepsize: 16.200000000000003
it: 10, loss: 1043.248584954794, stepsize: 14.580000000000002
it: 11, loss: 389.08085148789377, stepsize: 14.580000000000002
it: 12, loss: 890.4962704615768, stepsize: 13.122
it: 13, loss: 291.9339123425977, stepsize: 13.122
it: 14, loss: 747.3376098434337, stepsize: 11.809800000000001
it: 15, loss: 228.22782304127745, stepsize: 11.809800000000001
it: 16, loss: 608.6411118150726, stepsize: 10.628820000000001
it: 17, loss: 177.67870078916823, stepsize: 10.628820000000001
it: 18, loss: 504.4851395089693, stepsize: 9.565938000000001
it: 19, loss: 138.5760554514031, stepsize: 9.565938000000001
it: 20, loss: 422.6162052056037, stepsize: 8.609344200000002
it: 21, loss: 108.6547459316193, stepsize: 8.609344200000002
it: 22, loss: 348.16180611372107, stepsize: 7.748409780000002
it: 23, loss: 84.75675494365038, stepsize: 7.748409780000002
it: 24, loss: 277.4262169325565, stepsize: 6.973568802000002
it: 25, loss: 65.57949885883814, stepsize: 6.973568802000002
it: 26, loss: 229.83980380419345, stepsize: 6.276211921800002
it: 27, loss: 50.88161485841992, stepsize: 6.276211921800002
it: 28, loss: 185.51263622891196, stepsize: 5.648590729620002
it: 29, loss: 39.11635827407624, stepsize: 5.648590729620002
it: 30, loss: 154.27410700742004, stepsize: 5.083731656658001
it: 31, loss: 30.1312309372479, stepsize: 5.083731656658001
it: 32, loss: 122.27589413195442, stepsize: 4.575358490992202
it: 33, loss: 22.549903377819, stepsize: 4.575358490992202
it: 34, loss: 104.5749339290523, stepsize: 4.117822641892982
it: 35, loss: 17.27280848727258, stepsize: 4.117822641892982
it: 36, loss: 83.81691873589465, stepsize: 3.706040377703683
it: 37, loss: 12.942388871021421, stepsize: 3.706040377703683
it: 38, loss: 71.23074520382147, stepsize: 3.3354363399333153
it: 39, loss: 9.834091677733928, stepsize: 3.3354363399333153
it: 40, loss: 56.45646861124053, stepsize: 3.0018927059399836
it: 41, loss: 10.160497951479252, stepsize: 3.0018927059399836
it: 42, loss: 52.44837138230519, stepsize: 2.7017034353459857
it: 43, loss: 8.579606582440872, stepsize: 2.7017034353459857
it: 44, loss: 43.896845720508274, stepsize: 2.431533091811387
it: 45, loss: 4.381470865908243, stepsize: 2.431533091811387
it: 46, loss: 33.41921022985844, stepsize: 2.1883797826302485
it: 47, loss: 3.348631792483853, stepsize: 2.1883797826302485
it: 48, loss: 25.759777680099283, stepsize: 1.9695418043672235
it: 49, loss: 2.4301753409553957, stepsize: 1.9695418043672235
it: 50, loss: 26.02911407399587, stepsize: 1.7725876239305014
it: 51, loss: 4.003430616580817, stepsize: 1.7725876239305014
it: 52, loss: 21.995617058990923, stepsize: 1.595328861537451
it: 53, loss: 1.7363951775331845, stepsize: 1.595328861537451
it: 54, loss: 16.252451412014143, stepsize: 1.435795975383706
it: 55, loss: 1.4093465086506831, stepsize: 1.435795975383706
it: 56, loss: 16.142019079850215, stepsize: 1.2922163778453355
it: 57, loss: 1.2557192348945379, stepsize: 1.2922163778453355
it: 58, loss: 12.6071776314523, stepsize: 1.1629947400608018
it: 59, loss: 4.808425082830247, stepsize: 1.1629947400608018
it: 60, loss: 9.949824013821075, stepsize: 1.046695266054722
it: 61, loss: 1.0246806777341786, stepsize: 1.046695266054722
it: 62, loss: 8.422386957349545, stepsize: 0.9420257394492497
it: 63, loss: 0.8944200903089828, stepsize: 0.9420257394492497
it: 64, loss: 7.242042631589138, stepsize: 0.8478231655043247
it: 65, loss: 0.8876323400511771, stepsize: 0.8478231655043247
it: 66, loss: 7.855998139685274, stepsize: 0.7630408489538922
it: 67, loss: 2.9546452149359563, stepsize: 0.7630408489538922
it: 68, loss: 4.220435973297133, stepsize: 0.686736764058503
it: 69, loss: 0.9024746294994557, stepsize: 0.686736764058503
it: 70, loss: 5.634077757455605, stepsize: 0.6180630876526527
it: 71, loss: 2.473293827027746, stepsize: 0.6180630876526527
it: 72, loss: 5.407201653154692, stepsize: 0.5562567788873874
it: 73, loss: 2.519419016339955, stepsize: 0.5562567788873874
it: 74, loss: 2.471924097901471, stepsize: 0.5562567788873874
it: 75, loss: 1.1907026965705518, stepsize: 0.5562567788873874
it: 76, loss: 2.3166278613052658, stepsize: 0.5006311009986487
it: 77, loss: 1.0341091629799213, stepsize: 0.5006311009986487
it: 78, loss: 4.3817915678966965, stepsize: 0.4505679908987839
it: 79, loss: 4.406147114916928, stepsize: 0.4055111918089055
it: 80, loss: 4.254570522702419, stepsize: 0.4055111918089055
it: 81, loss: 1.3506137071293165, stepsize: 0.4055111918089055
it: 82, loss: 1.2146462735366719, stepsize: 0.4055111918089055
it: 83, loss: 2.2049228542052908, stepsize: 0.364960072628015
it: 84, loss: 3.1491310068124028, stepsize: 0.3284640653652135
it: 85, loss: 2.1745446388959633, stepsize: 0.3284640653652135
it: 86, loss: 1.2622145092477477, stepsize: 0.3284640653652135
it: 87, loss: 1.5124484088979362, stepsize: 0.2956176588286922
it: 88, loss: 0.8802412410734737, stepsize: 0.2956176588286922
it: 89, loss: 1.624944622497419, stepsize: 0.26605589294582294
it: 90, loss: 1.0514507086364404, stepsize: 0.26605589294582294
it: 91, loss: 1.079475924020937, stepsize: 0.23945030365124065
it: 92, loss: 0.8785848078268197, stepsize: 0.23945030365124065
it: 93, loss: 1.3340213042670355, stepsize: 0.21550527328611657
it: 94, loss: 1.1961670329757452, stepsize: 0.21550527328611657
it: 95, loss: 0.7527072688108386, stepsize: 0.21550527328611657
it: 96, loss: 1.195495809075066, stepsize: 0.19395474595750495
it: 97, loss: 1.605492060545746, stepsize: 0.17455927136175445
it: 98, loss: 2.5939588482230995, stepsize: 0.157103344225579
it: 99, loss: 1.6121628813441573, stepsize: 0.157103344225579
it: 100, loss: 2.161680812506856, stepsize: 0.1413930098030211
it: 101, loss: 2.862620480049281, stepsize: 0.127253708822719
it: 102, loss: 3.3085266220152585, stepsize: 0.11452833794044709
it: 103, loss: 3.027633809497753, stepsize: 0.11452833794044709
it: 104, loss: 3.0473639902571223, stepsize: 0.10307550414640239
it: 105, loss: 2.6328509336815378, stepsize: 0.10307550414640239
it: 106, loss: 2.6833350697732397, stepsize: 0.09276795373176216
it: 107, loss: 2.882681271921463, stepsize: 0.08349115835858595
it: 108, loss: 2.3986768465382946, stepsize: 0.08349115835858595
it: 109, loss: 2.8907926398297787, stepsize: 0.07514204252272735
it: 110, loss: 2.4420340704727286, stepsize: 0.07514204252272735
it: 111, loss: 2.0442096203498146, stepsize: 0.07514204252272735
it: 112, loss: 1.700078175587966, stepsize: 0.07514204252272735
it: 113, loss: 1.9700814252766445, stepsize: 0.06762783827045461
it: 114, loss: 1.7130439197388958, stepsize: 0.06762783827045461
it: 115, loss: 1.9600950421865004, stepsize: 0.06086505444340916
it: 116, loss: 1.7056304286629076, stepsize: 0.06086505444340916
it: 117, loss: 1.491999032602021, stepsize: 0.06086505444340916
it: 118, loss: 1.671485594545965, stepsize: 0.05477854899906824
it: 119, loss: 1.8187928487002711, stepsize: 0.04930069409916142
it: 120, loss: 2.029672704804695, stepsize: 0.04437062468924528
it: 121, loss: 2.2130072331817177, stepsize: 0.039933562220320754
it: 122, loss: 2.2704143594193305, stepsize: 0.03594020599828868
it: 123, loss: 2.336440805421097, stepsize: 0.03234618539845981
it: 124, loss: 2.276630199358655, stepsize: 0.03234618539845981
it: 125, loss: 2.1389921390258504, stepsize: 0.03234618539845981
it: 126, loss: 2.013228165817881, stepsize: 0.03234618539845981
it: 127, loss: 2.150018531398556, stepsize: 0.02911156685861383
it: 128, loss: 2.0367655709811583, stepsize: 0.02911156685861383
it: 129, loss: 2.1164380523002224, stepsize: 0.026200410172752445
it: 130, loss: 2.0102569331456537, stepsize: 0.026200410172752445
it: 131, loss: 2.1285075332360557, stepsize: 0.023580369155477204
it: 132, loss: 2.1807686523038505, stepsize: 0.021222332239929483
it: 133, loss: 2.2724558398029964, stepsize: 0.019100099015936536
it: 134, loss: 2.313954915950297, stepsize: 0.01719008911434288
it: 135, loss: 2.242611968819745, stepsize: 0.01719008911434288
it: 136, loss: 2.325098218748603, stepsize: 0.015471080202908594
it: 137, loss: 2.394273274951326, stepsize: 0.013923972182617735
it: 138, loss: 2.4624224204644163, stepsize: 0.012531574964355962
it: 139, loss: 2.4812828760012184, stepsize: 0.011278417467920368
it: 140, loss: 2.4592784222833703, stepsize: 0.011278417467920368
it: 141, loss: 2.403132596899762, stepsize: 0.011278417467920368
it: 142, loss: 2.431516194900271, stepsize: 0.01015057572112833
it: 143, loss: 2.481356889253103, stepsize: 0.009135518149015497
it: 144, loss: 2.5140839206285017, stepsize: 0.008221966334113949
it: 145, loss: 2.5513961380417163, stepsize: 0.007399769700702553
it: 146, loss: 2.529181338226125, stepsize: 0.007399769700702553
it: 147, loss: 2.4928561163735994, stepsize: 0.007399769700702553
it: 148, loss: 2.4599035436180836, stepsize: 0.007399769700702553
it: 149, loss: 2.4576516438159297, stepsize: 0.007399769700702553
it: 150, loss: 2.4567899842088896, stepsize: 0.007399769700702553
it: 151, loss: 2.459795714754619, stepsize: 0.006659792730632298
it: 152, loss: 2.4915853250993827, stepsize: 0.005993813457569068
it: 153, loss: 2.4906179736853993, stepsize: 0.005993813457569068
it: 154, loss: 2.505682790007919, stepsize: 0.005394432111812162
it: 155, loss: 2.499566361907066, stepsize: 0.005394432111812162
it: 156, loss: 2.4722135144468136, stepsize: 0.005394432111812162
it: 157, loss: 2.4845179715274934, stepsize: 0.004854988900630946
it: 158, loss: 2.4908638787938164, stepsize: 0.004369490010567851
it: 159, loss: 2.468915276389266, stepsize: 0.004369490010567851
it: 160, loss: 2.45769727627692, stepsize: 0.004369490010567851
it: 161, loss: 2.475406981993952, stepsize: 0.003932541009511067
it: 162, loss: 2.4835992797807855, stepsize: 0.0035392869085599595
it: 163, loss: 2.4661167258834857, stepsize: 0.0035392869085599595
it: 164, loss: 2.4468672189503957, stepsize: 0.0035392869085599595
it: 165, loss: 2.4347587513801603, stepsize: 0.0035392869085599595
it: 166, loss: 2.415052654712229, stepsize: 0.0035392869085599595
it: 167, loss: 2.4135134971991943, stepsize: 0.0035392869085599595
