2019-05-19 18:27:32
sign_sgd_majority_one-point_log-reg_var-step_20_5,0_1
it: 0, loss: 33714.65929296417, stepsize: 5.0
it: 1, loss: 29664.447575508937, stepsize: 5.0
it: 2, loss: 26994.752839886976, stepsize: 3.5355339059327373
it: 3, loss: 24938.320462636068, stepsize: 2.886751345948129
it: 4, loss: 23242.895469849205, stepsize: 2.5
it: 5, loss: 21796.690906705946, stepsize: 2.23606797749979
it: 6, loss: 20516.76698971959, stepsize: 2.041241452319315
it: 7, loss: 19379.724999801572, stepsize: 1.889822365046136
it: 8, loss: 18345.352160275, stepsize: 1.7677669529663687
it: 9, loss: 17407.439388954852, stepsize: 1.6666666666666667
it: 10, loss: 16540.644501096187, stepsize: 1.5811388300841895
it: 11, loss: 15744.801064946007, stepsize: 1.507556722888818
it: 12, loss: 15001.5998423358, stepsize: 1.4433756729740645
it: 13, loss: 14311.469493621165, stepsize: 1.386750490563073
it: 14, loss: 13660.655804629667, stepsize: 1.3363062095621219
it: 15, loss: 13052.702797237753, stepsize: 1.2909944487358056
it: 16, loss: 12475.686205368303, stepsize: 1.25
it: 17, loss: 11931.864293853563, stepsize: 1.212678125181665
it: 18, loss: 11413.671125767269, stepsize: 1.1785113019775793
it: 19, loss: 10923.616349581946, stepsize: 1.1470786693528088
it: 20, loss: 10455.130761087144, stepsize: 1.118033988749895
it: 21, loss: 10011.197162097795, stepsize: 1.091089451179962
it: 22, loss: 9585.246013266848, stepsize: 1.0660035817780522
it: 23, loss: 9181.071957555914, stepsize: 1.0425720702853738
it: 24, loss: 8794.397760305466, stepsize: 1.0206207261596576
it: 25, loss: 8422.792443889757, stepsize: 1.0
it: 26, loss: 8068.303546671308, stepsize: 0.9805806756909202
it: 27, loss: 7729.0160025393425, stepsize: 0.9622504486493763
it: 28, loss: 7402.589988457645, stepsize: 0.944911182523068
it: 29, loss: 7091.574494880892, stepsize: 0.9284766908852594
it: 30, loss: 6793.21782815532, stepsize: 0.9128709291752769
it: 31, loss: 6505.788049419053, stepsize: 0.8980265101338746
it: 32, loss: 6229.814127721062, stepsize: 0.8838834764831843
it: 33, loss: 5966.430335196702, stepsize: 0.8703882797784892
it: 34, loss: 5712.158697931324, stepsize: 0.8574929257125441
it: 35, loss: 5469.461541392029, stepsize: 0.8451542547285166
it: 36, loss: 5236.303937690115, stepsize: 0.8333333333333334
it: 37, loss: 5011.335087908642, stepsize: 0.8219949365267865
it: 38, loss: 4795.169370670527, stepsize: 0.8111071056538127
it: 39, loss: 4589.048676308224, stepsize: 0.8006407690254357
it: 40, loss: 4389.683101076393, stepsize: 0.7905694150420948
it: 41, loss: 4199.754292620497, stepsize: 0.7808688094430304
it: 42, loss: 4016.060096290601, stepsize: 0.7715167498104595
it: 43, loss: 3841.1907789390675, stepsize: 0.7624928516630234
it: 44, loss: 3672.073088344471, stepsize: 0.753778361444409
it: 45, loss: 3510.6661929426696, stepsize: 0.7453559924999299
it: 46, loss: 3354.071793026249, stepsize: 0.7372097807744856
it: 47, loss: 3206.3560755289595, stepsize: 0.7293249574894728
it: 48, loss: 3059.8850065462743, stepsize: 0.7216878364870323
it: 49, loss: 2922.819254361116, stepsize: 0.7142857142857143
it: 50, loss: 2787.5478430128614, stepsize: 0.7071067811865475
it: 51, loss: 2659.0475749090538, stepsize: 0.7001400420140048
it: 52, loss: 2534.276408655193, stepsize: 0.6933752452815365
it: 53, loss: 2414.953812009638, stepsize: 0.6868028197434451
it: 54, loss: 2299.002954415396, stepsize: 0.6804138174397717
it: 55, loss: 2188.730141189842, stepsize: 0.674199862463242
it: 56, loss: 2080.755587189682, stepsize: 0.6681531047810609
it: 57, loss: 1977.8388502321536, stepsize: 0.6622661785325219
it: 58, loss: 1878.634011283626, stepsize: 0.6565321642986127
it: 59, loss: 1783.4401713908976, stepsize: 0.6509445549041194
it: 60, loss: 1691.8240127551408, stepsize: 0.6454972243679028
it: 61, loss: 1604.316097641471, stepsize: 0.6401843996644799
it: 62, loss: 1519.5728698722767, stepsize: 0.6350006350009525
it: 63, loss: 1441.0345554601822, stepsize: 0.629940788348712
it: 64, loss: 1363.425403351108, stepsize: 0.625
it: 65, loss: 1287.293454347537, stepsize: 0.6201736729460423
it: 66, loss: 1215.7940169374697, stepsize: 0.6154574548966636
it: 67, loss: 1149.562251758798, stepsize: 0.6108472217815261
it: 68, loss: 1083.5957577295796, stepsize: 0.6063390625908325
it: 69, loss: 1021.8580379419093, stepsize: 0.601929265428846
it: 70, loss: 963.2280867653857, stepsize: 0.5976143046671968
it: 71, loss: 907.3215099004829, stepsize: 0.5933908290969266
it: 72, loss: 854.4599760560117, stepsize: 0.5892556509887896
it: 73, loss: 804.9987402859878, stepsize: 0.5852057359806528
it: 74, loss: 755.826720183735, stepsize: 0.5812381937190965
it: 75, loss: 710.5329365775704, stepsize: 0.5773502691896257
it: 76, loss: 666.8476978153665, stepsize: 0.5735393346764044
it: 77, loss: 626.1026256743099, stepsize: 0.5698028822981898
it: 78, loss: 586.3581509142869, stepsize: 0.5661385170722978
it: 79, loss: 549.4807624306228, stepsize: 0.562543950463012
it: 80, loss: 512.7525071064351, stepsize: 0.5590169943749475
it: 81, loss: 478.78994020464586, stepsize: 0.5555555555555556
it: 82, loss: 445.2902744672432, stepsize: 0.5521576303742327
it: 83, loss: 415.60769004528504, stepsize: 0.5488212999484517
it: 84, loss: 383.6279521487511, stepsize: 0.545544725589981
it: 85, loss: 354.3216034844439, stepsize: 0.5423261445466404
it: 86, loss: 326.18908672666294, stepsize: 0.539163866017192
it: 87, loss: 300.9839531230203, stepsize: 0.5360562674188973
it: 88, loss: 275.1965940836507, stepsize: 0.5330017908890261
it: 89, loss: 251.5725886800901, stepsize: 0.52999894000318
it: 90, loss: 230.0023632038613, stepsize: 0.5270462766947299
it: 91, loss: 208.00637895744023, stepsize: 0.5241424183609592
it: 92, loss: 187.37660185940194, stepsize: 0.5212860351426869
it: 93, loss: 168.9676962809901, stepsize: 0.5184758473652127
it: 94, loss: 150.2503234522651, stepsize: 0.5157106231293966
it: 95, loss: 134.3894432902247, stepsize: 0.5129891760425771
it: 96, loss: 118.99968769999414, stepsize: 0.5103103630798288
it: 97, loss: 107.43208313567989, stepsize: 0.5076730825668095
it: 98, loss: 93.92928819094632, stepsize: 0.5050762722761054
it: 99, loss: 82.12473672292546, stepsize: 0.502518907629606
it: 100, loss: 69.45659960793706, stepsize: 0.5
it: 101, loss: 57.78364219998183, stepsize: 0.4975185951049946
it: 102, loss: 48.42075812022252, stepsize: 0.4950737714883372
it: 103, loss: 42.726583186637754, stepsize: 0.4926646390821466
it: 104, loss: 34.69801822946428, stepsize: 0.4902903378454601
it: 105, loss: 28.074941796398804, stepsize: 0.4879500364742666
it: 106, loss: 22.934273661015446, stepsize: 0.48564293117863205
it: 107, loss: 16.526300385229746, stepsize: 0.4833682445228318
it: 108, loss: 11.563527552989173, stepsize: 0.4811252243246881
it: 109, loss: 9.673745093764403, stepsize: 0.47891314261057566
it: 110, loss: 8.077755179292302, stepsize: 0.4767312946227962
it: 111, loss: 3.7770440737637796, stepsize: 0.4745789978762495
it: 112, loss: 4.195136311186523, stepsize: 0.472455591261534
it: 113, loss: 4.672691968523568, stepsize: 0.4703604341917986
it: 114, loss: 1.5203365470964219, stepsize: 0.468292905790847
it: 115, loss: 4.543555205374967, stepsize: 0.4662524041201569
it: 116, loss: 4.802963883235892, stepsize: 0.4642383454426297
it: 117, loss: 2.161197041267126, stepsize: 0.4622501635210242
