2019-05-19 18:19:41
sign_sgd_majority_two-point_log-reg_fix-step_20_2,0_1
it: 0, loss: 33714.65929296417, stepsize: 2.0
it: 1, loss: 32052.559230209885, stepsize: 2.0
it: 2, loss: 30446.47762848437, stepsize: 2.0
it: 3, loss: 28890.75410775023, stepsize: 2.0
it: 4, loss: 27388.715345756762, stepsize: 2.0
it: 5, loss: 25937.041450134246, stepsize: 2.0
it: 6, loss: 24539.04661461245, stepsize: 2.0
it: 7, loss: 23191.434307512714, stepsize: 2.0
it: 8, loss: 21896.611925600744, stepsize: 2.0
it: 9, loss: 20639.605768591187, stepsize: 2.0
it: 10, loss: 19432.786639580583, stepsize: 2.0
it: 11, loss: 18263.790409173333, stepsize: 2.0
it: 12, loss: 17144.99124419388, stepsize: 2.0
it: 13, loss: 16064.043069412655, stepsize: 2.0
it: 14, loss: 15033.287509259382, stepsize: 2.0
it: 15, loss: 14037.675666968451, stepsize: 2.0
it: 16, loss: 13086.900794157997, stepsize: 2.0
it: 17, loss: 12170.664304416036, stepsize: 2.0
it: 18, loss: 11291.910884540855, stepsize: 2.0
it: 19, loss: 10447.67514990312, stepsize: 2.0
it: 20, loss: 9640.941991870042, stepsize: 2.0
it: 21, loss: 8868.710079151493, stepsize: 2.0
it: 22, loss: 8133.993018720601, stepsize: 2.0
it: 23, loss: 7433.771000003973, stepsize: 2.0
it: 24, loss: 6771.062625196637, stepsize: 2.0
it: 25, loss: 6142.859712931856, stepsize: 2.0
it: 26, loss: 5552.162984475854, stepsize: 2.0
it: 27, loss: 4995.994974619027, stepsize: 2.0
it: 28, loss: 4477.319801755123, stepsize: 2.0
it: 29, loss: 3993.171663836812, stepsize: 2.0
it: 30, loss: 3546.5311916148403, stepsize: 2.0
it: 31, loss: 3130.477715214274, stepsize: 2.0
it: 32, loss: 2750.7278490913654, stepsize: 2.0
it: 33, loss: 2390.646893794765, stepsize: 2.0
it: 34, loss: 2064.067711873472, stepsize: 2.0
it: 35, loss: 1762.9156880845012, stepsize: 2.0
it: 36, loss: 1492.4034506878045, stepsize: 2.0
it: 37, loss: 1247.4074030183883, stepsize: 2.0
it: 38, loss: 1033.0137111070856, stepsize: 2.0
it: 39, loss: 844.2953698032827, stepsize: 2.0
it: 40, loss: 686.108068350104, stepsize: 2.0
it: 41, loss: 546.2621136830318, stepsize: 2.0
it: 42, loss: 425.8851152676249, stepsize: 2.0
it: 43, loss: 316.7732645096624, stepsize: 2.0
it: 44, loss: 229.67930557404958, stepsize: 2.0
it: 45, loss: 152.55439982357734, stepsize: 2.0
it: 46, loss: 97.55419243893787, stepsize: 2.0
it: 47, loss: 52.44563765168064, stepsize: 2.0
it: 48, loss: 29.65417195204419, stepsize: 2.0
it: 49, loss: 9.859495819678102, stepsize: 2.0
it: 50, loss: 9.859495819678102, stepsize: 1.8
it: 51, loss: 8.37622742108884, stepsize: 1.8
it: 52, loss: 8.37622742108884, stepsize: 1.62
it: 53, loss: 7.790276810255357, stepsize: 1.62
it: 54, loss: 7.790276810255357, stepsize: 1.4580000000000002
it: 55, loss: 7.790276810255357, stepsize: 1.3122
it: 56, loss: 5.281434684527493, stepsize: 1.3122
it: 57, loss: 5.281434684527493, stepsize: 1.1809800000000001
it: 58, loss: 5.0768589619128095, stepsize: 1.1809800000000001
it: 59, loss: 4.4297021870201245, stepsize: 1.1809800000000001
it: 60, loss: 4.4297021870201245, stepsize: 1.062882
it: 61, loss: 3.206344566033464, stepsize: 1.062882
it: 62, loss: 3.206344566033464, stepsize: 0.9565938000000002
it: 63, loss: 3.206344566033464, stepsize: 0.8609344200000002
it: 64, loss: 2.851519466798152, stepsize: 0.8609344200000002
it: 65, loss: 2.851519466798152, stepsize: 0.7748409780000002
it: 66, loss: 2.407781892757891, stepsize: 0.7748409780000002
it: 67, loss: 2.407781892757891, stepsize: 0.6973568802000002
it: 68, loss: 2.0244116175013094, stepsize: 0.6973568802000002
it: 69, loss: 2.0244116175013094, stepsize: 0.6276211921800001
it: 70, loss: 2.0244116175013094, stepsize: 0.5648590729620002
it: 71, loss: 2.0244116175013094, stepsize: 0.5083731656658002
it: 72, loss: 2.0244116175013094, stepsize: 0.4575358490992202
it: 73, loss: 2.0244116175013094, stepsize: 0.41178226418929814
it: 74, loss: 1.6830535982969308, stepsize: 0.41178226418929814
it: 75, loss: 1.5421870247838798, stepsize: 0.41178226418929814
it: 76, loss: 1.5421870247838798, stepsize: 0.3706040377703683
it: 77, loss: 1.5421870247838798, stepsize: 0.33354363399333153
it: 78, loss: 0.9678927765290779, stepsize: 0.33354363399333153
it: 79, loss: 0.9678927765290779, stepsize: 0.30018927059399836
it: 80, loss: 0.9678927765290779, stepsize: 0.27017034353459857
it: 81, loss: 0.9678927765290779, stepsize: 0.2431533091811387
it: 82, loss: 0.9678927765290779, stepsize: 0.21883797826302484
it: 83, loss: 0.9678927765290779, stepsize: 0.19695418043672236
it: 84, loss: 0.9678927765290779, stepsize: 0.17725876239305013
it: 85, loss: 0.9678927765290779, stepsize: 0.1595328861537451
it: 86, loss: 0.9678927765290779, stepsize: 0.1435795975383706
it: 87, loss: 0.9678927765290779, stepsize: 0.12922163778453355
it: 88, loss: 0.9678927765290779, stepsize: 0.11629947400608019
it: 89, loss: 0.9678927765290779, stepsize: 0.10466952660547219
it: 90, loss: 0.9678927765290779, stepsize: 0.09420257394492497
it: 91, loss: 0.9678927765290779, stepsize: 0.08478231655043247
it: 92, loss: 0.9155013611339505, stepsize: 0.08478231655043247
it: 93, loss: 0.9155013611339505, stepsize: 0.07630408489538923
it: 94, loss: 0.9155013611339505, stepsize: 0.0686736764058503
it: 95, loss: 0.9155013611339505, stepsize: 0.06180630876526527
it: 96, loss: 0.8889443708002402, stepsize: 0.06180630876526527
it: 97, loss: 0.8889443708002402, stepsize: 0.05562567788873875
it: 98, loss: 0.8889443708002402, stepsize: 0.050063110099864874
it: 99, loss: 0.8227627236552624, stepsize: 0.050063110099864874
it: 100, loss: 0.8227627236552624, stepsize: 0.04505679908987839
it: 101, loss: 0.8227627236552624, stepsize: 0.04055111918089055
it: 102, loss: 0.8227627236552624, stepsize: 0.0364960072628015
it: 103, loss: 0.8227627236552624, stepsize: 0.03284640653652135
it: 104, loss: 0.8227627236552624, stepsize: 0.029561765882869215
it: 105, loss: 0.8227627236552624, stepsize: 0.02660558929458229
it: 106, loss: 0.8227627236552624, stepsize: 0.023945030365124065
it: 107, loss: 0.8227627236552624, stepsize: 0.02155052732861166
it: 108, loss: 0.8227627236552624, stepsize: 0.019395474595750493
it: 109, loss: 0.8227627236552624, stepsize: 0.017455927136175445
it: 110, loss: 0.8227627236552624, stepsize: 0.0157103344225579
it: 111, loss: 0.8199546886676317, stepsize: 0.0157103344225579
it: 112, loss: 0.8199546886676317, stepsize: 0.01413930098030211
it: 113, loss: 0.8199546886676317, stepsize: 0.0127253708822719
it: 114, loss: 0.8199546886676317, stepsize: 0.01145283379404471
it: 115, loss: 0.8199546886676317, stepsize: 0.01030755041464024
it: 116, loss: 0.8199546886676317, stepsize: 0.009276795373176216
it: 117, loss: 0.8199546886676317, stepsize: 0.008349115835858595
it: 118, loss: 0.8199546886676317, stepsize: 0.007514204252272735
it: 119, loss: 0.8199546886676317, stepsize: 0.006762783827045461
it: 120, loss: 0.8199546886676317, stepsize: 0.0060865054443409155
it: 121, loss: 0.8199546886676317, stepsize: 0.005477854899906824
it: 122, loss: 0.8199546886676317, stepsize: 0.004930069409916142
it: 123, loss: 0.8199546886676317, stepsize: 0.004437062468924528
it: 124, loss: 0.8199546886676317, stepsize: 0.003993356222032075
it: 125, loss: 0.8199546886676317, stepsize: 0.003594020599828868
it: 126, loss: 0.8199546886676317, stepsize: 0.003234618539845981
it: 127, loss: 0.8199546886676317, stepsize: 0.002911156685861383
it: 128, loss: 0.8199546886676317, stepsize: 0.0026200410172752446
it: 129, loss: 0.8199546886676317, stepsize: 0.0023580369155477205
it: 130, loss: 0.8199546886676317, stepsize: 0.002122233223992948
it: 131, loss: 0.8199546886676317, stepsize: 0.0019100099015936535
it: 132, loss: 0.8199546886676317, stepsize: 0.0017190089114342882
it: 133, loss: 0.8199546886676317, stepsize: 0.0015471080202908594
it: 134, loss: 0.8199546886676317, stepsize: 0.0013923972182617735
it: 135, loss: 0.8199546886676317, stepsize: 0.0012531574964355962
it: 136, loss: 0.8198024299172895, stepsize: 0.0012531574964355962
it: 137, loss: 0.8198024299172895, stepsize: 0.0011278417467920367
it: 138, loss: 0.8198024299172895, stepsize: 0.001015057572112833
it: 139, loss: 0.8198024299172895, stepsize: 0.0009135518149015497
it: 140, loss: 0.8198024299172895, stepsize: 0.0008221966334113948
it: 141, loss: 0.8198024299172895, stepsize: 0.0007399769700702553
it: 142, loss: 0.8198024299172895, stepsize: 0.0006659792730632298
it: 143, loss: 0.8198024299172895, stepsize: 0.0005993813457569068
it: 144, loss: 0.8198024299172895, stepsize: 0.0005394432111812162
it: 145, loss: 0.8198024299172895, stepsize: 0.0004854988900630946
it: 146, loss: 0.8198024299172895, stepsize: 0.0004369490010567851
it: 147, loss: 0.8198024299172895, stepsize: 0.00039325410095110663
it: 148, loss: 0.8198024299172895, stepsize: 0.00035392869085599594
it: 149, loss: 0.8198024299172895, stepsize: 0.00031853582177039636
it: 150, loss: 0.8198024299172895, stepsize: 0.00028668223959335673
it: 151, loss: 0.8198024299172895, stepsize: 0.0002580140156340211
it: 152, loss: 0.819714780454454, stepsize: 0.0002580140156340211
it: 153, loss: 0.819714780454454, stepsize: 0.00023221261407061898
it: 154, loss: 0.819714780454454, stepsize: 0.00020899135266355708
it: 155, loss: 0.819714780454454, stepsize: 0.00018809221739720137
it: 156, loss: 0.819714780454454, stepsize: 0.00016928299565748125
it: 157, loss: 0.819714780454454, stepsize: 0.00015235469609173314
it: 158, loss: 0.8196984152952765, stepsize: 0.00015235469609173314
it: 159, loss: 0.8196984152952765, stepsize: 0.0001371192264825598
it: 160, loss: 0.8196984152952765, stepsize: 0.00012340730383430385
it: 161, loss: 0.8196984152952765, stepsize: 0.00011106657345087345
it: 162, loss: 0.8196984152952765, stepsize: 9.995991610578612e-05
it: 163, loss: 0.8196984152952765, stepsize: 8.99639244952075e-05
it: 164, loss: 0.8196984152952765, stepsize: 8.096753204568675e-05
it: 165, loss: 0.8196984152952765, stepsize: 7.287077884111808e-05
it: 166, loss: 0.8196942145422799, stepsize: 7.287077884111808e-05
it: 167, loss: 0.8196942145422799, stepsize: 6.558370095700628e-05
it: 168, loss: 0.8196942145422799, stepsize: 5.902533086130565e-05
it: 169, loss: 0.8196942145422799, stepsize: 5.312279777517509e-05
it: 170, loss: 0.8196942145422799, stepsize: 4.7810517997657576e-05
it: 171, loss: 0.8196942145422799, stepsize: 4.302946619789182e-05
