2019-05-19 18:19:22
sign_sgd_majority_two-point_log-reg_var-step_20_10,0_1
it: 0, loss: 33714.65929296417, stepsize: 10.0
it: 1, loss: 25964.41601577366, stepsize: 10.0
it: 2, loss: 21224.51708580642, stepsize: 7.071067811865475
it: 3, loss: 17807.872416307328, stepsize: 5.773502691896258
it: 4, loss: 15113.177933472192, stepsize: 5.0
it: 5, loss: 12957.978304932605, stepsize: 4.47213595499958
it: 6, loss: 11126.545138955122, stepsize: 4.08248290463863
it: 7, loss: 9585.458808973444, stepsize: 3.779644730092272
it: 8, loss: 8241.125575945378, stepsize: 3.5355339059327373
it: 9, loss: 7092.342070383387, stepsize: 3.3333333333333335
it: 10, loss: 6083.066530281373, stepsize: 3.162277660168379
it: 11, loss: 5216.497506172367, stepsize: 3.015113445777636
it: 12, loss: 4450.727041480369, stepsize: 2.886751345948129
it: 13, loss: 3797.3284693526384, stepsize: 2.773500981126146
it: 14, loss: 3224.3543078484313, stepsize: 2.6726124191242437
it: 15, loss: 2730.9596034748824, stepsize: 2.581988897471611
it: 16, loss: 2286.423019233297, stepsize: 2.5
it: 17, loss: 1903.7423102855553, stepsize: 2.42535625036333
it: 18, loss: 1570.7261547742135, stepsize: 2.3570226039551585
it: 19, loss: 1284.5416993614804, stepsize: 2.2941573387056176
it: 20, loss: 1039.6125914063207, stepsize: 2.23606797749979
it: 21, loss: 838.4553354762692, stepsize: 2.182178902359924
it: 22, loss: 667.4390462800657, stepsize: 2.1320071635561044
it: 23, loss: 528.3487717350865, stepsize: 2.0851441405707476
it: 24, loss: 402.7311996009626, stepsize: 2.041241452319315
it: 25, loss: 300.9119610573704, stepsize: 2.0
it: 26, loss: 215.42727856995725, stepsize: 1.9611613513818404
it: 27, loss: 145.1799649259191, stepsize: 1.9245008972987525
it: 28, loss: 93.11951228917745, stepsize: 1.889822365046136
it: 29, loss: 56.1616928577537, stepsize: 1.8569533817705188
it: 30, loss: 28.28184082578778, stepsize: 1.8257418583505538
it: 31, loss: 19.086084335788996, stepsize: 1.7960530202677492
