2019-05-15 16:35:19
sign_sgd_majority_one-point_log-reg_fix-step_3_10,0_1
it: 0, loss: inf, stepsize: 10.0
it: 1, loss: 132911.6980360291, stepsize: 10.0
it: 2, loss: 94432.33660507476, stepsize: 10.0
it: 3, loss: 64347.37985502395, stepsize: 10.0
it: 4, loss: 41561.89734917656, stepsize: 10.0
it: 5, loss: 24955.05835763838, stepsize: 10.0
it: 6, loss: 13597.264537550785, stepsize: 10.0
it: 7, loss: 6805.658281154753, stepsize: 10.0
it: 8, loss: 3061.845486362437, stepsize: 10.0
it: 9, loss: 2081.0759204061746, stepsize: 10.0
it: 10, loss: 1705.6244750937365, stepsize: 10.0
it: 11, loss: 2082.3951567816284, stepsize: 9.0
it: 12, loss: 1237.8182521942506, stepsize: 9.0
it: 13, loss: 1980.3503549692837, stepsize: 8.100000000000001
it: 14, loss: 904.5869542410214, stepsize: 8.100000000000001
it: 15, loss: 1845.7826409094644, stepsize: 7.290000000000001
it: 16, loss: 665.3797535262279, stepsize: 7.290000000000001
it: 17, loss: 1655.9852099984698, stepsize: 6.561
it: 18, loss: 505.29663078859573, stepsize: 6.561
it: 19, loss: 1413.241429124359, stepsize: 5.9049000000000005
it: 20, loss: 367.5227767041583, stepsize: 5.9049000000000005
it: 21, loss: 1198.730790591285, stepsize: 5.3144100000000005
it: 22, loss: 274.07903782308045, stepsize: 5.3144100000000005
it: 23, loss: 1003.634048098825, stepsize: 4.7829690000000005
it: 24, loss: 203.54301596226094, stepsize: 4.7829690000000005
it: 25, loss: 841.1699981908201, stepsize: 4.304672100000001
it: 26, loss: 151.32228362322797, stepsize: 4.304672100000001
it: 27, loss: 723.4041427770453, stepsize: 3.874204890000001
it: 28, loss: 116.40736106755335, stepsize: 3.874204890000001
it: 29, loss: 599.3307697978461, stepsize: 3.486784401000001
it: 30, loss: 87.67237029773568, stepsize: 3.486784401000001
it: 31, loss: 491.1884063028287, stepsize: 3.138105960900001
it: 32, loss: 68.03915078776089, stepsize: 3.138105960900001
it: 33, loss: 404.8617558690912, stepsize: 2.824295364810001
it: 34, loss: 50.656135756676875, stepsize: 2.824295364810001
it: 35, loss: 344.27663002499, stepsize: 2.5418658283290005
it: 36, loss: 36.25411033674249, stepsize: 2.5418658283290005
it: 37, loss: 275.86441892513426, stepsize: 2.287679245496101
it: 38, loss: 27.15325187375544, stepsize: 2.287679245496101
it: 39, loss: 234.39624531283926, stepsize: 2.058911320946491
it: 40, loss: 23.315639208659377, stepsize: 2.058911320946491
it: 41, loss: 184.13348682831977, stepsize: 1.8530201888518416
it: 42, loss: 15.826963565468304, stepsize: 1.8530201888518416
it: 43, loss: 155.96678444573496, stepsize: 1.6677181699666577
it: 44, loss: 12.025570414653078, stepsize: 1.6677181699666577
it: 45, loss: 128.67968491074421, stepsize: 1.5009463529699918
it: 46, loss: 11.933062520008031, stepsize: 1.5009463529699918
it: 47, loss: 107.35941649141394, stepsize: 1.3508517176729928
it: 48, loss: 7.268930718268014, stepsize: 1.3508517176729928
it: 49, loss: 89.64475890817171, stepsize: 1.2157665459056934
it: 50, loss: 5.808144335447062, stepsize: 1.2157665459056934
it: 51, loss: 71.89047891637426, stepsize: 1.0941898913151242
it: 52, loss: 4.929958425383986, stepsize: 1.0941898913151242
it: 53, loss: 57.75360849525585, stepsize: 0.9847709021836117
it: 54, loss: 8.44670443291644, stepsize: 0.9847709021836117
it: 55, loss: 48.493063562149935, stepsize: 0.8862938119652507
it: 56, loss: 12.365192029998939, stepsize: 0.8862938119652507
it: 57, loss: 39.263263633637145, stepsize: 0.7976644307687255
it: 58, loss: 2.348630547412724, stepsize: 0.7976644307687255
it: 59, loss: 32.7475289616485, stepsize: 0.717897987691853
it: 60, loss: 1.9972706655761798, stepsize: 0.717897987691853
it: 61, loss: 27.334987131282382, stepsize: 0.6461081889226677
it: 62, loss: 1.653311015777119, stepsize: 0.6461081889226677
it: 63, loss: 22.294827650130753, stepsize: 0.5814973700304009
it: 64, loss: 4.748202283025085, stepsize: 0.5814973700304009
it: 65, loss: 16.882871583550358, stepsize: 0.523347633027361
it: 66, loss: 1.2789573109865269, stepsize: 0.523347633027361
it: 67, loss: 16.62394527466023, stepsize: 0.47101286972462486
it: 68, loss: 1.3195144628975508, stepsize: 0.47101286972462486
it: 69, loss: 12.329050125295263, stepsize: 0.42391158275216234
it: 70, loss: 1.0732270246246816, stepsize: 0.42391158275216234
it: 71, loss: 11.83337409744403, stepsize: 0.3815204244769461
it: 72, loss: 1.1463852403981456, stepsize: 0.3815204244769461
it: 73, loss: 8.326195811414367, stepsize: 0.3433683820292515
it: 74, loss: 1.8222446934480687, stepsize: 0.3433683820292515
it: 75, loss: 6.657282016653031, stepsize: 0.30903154382632636
it: 76, loss: 1.0633888906706503, stepsize: 0.30903154382632636
it: 77, loss: 5.61514518503201, stepsize: 0.2781283894436937
it: 78, loss: 1.3769301589673635, stepsize: 0.2781283894436937
it: 79, loss: 4.542289945656652, stepsize: 0.25031555049932436
it: 80, loss: 0.8426964479513811, stepsize: 0.25031555049932436
it: 81, loss: 4.903216472253114, stepsize: 0.22528399544939195
it: 82, loss: 0.8931686300662116, stepsize: 0.22528399544939195
it: 83, loss: 3.130351748389079, stepsize: 0.20275559590445275
it: 84, loss: 1.1970222588759791, stepsize: 0.20275559590445275
it: 85, loss: 2.845927506768472, stepsize: 0.1824800363140075
it: 86, loss: 1.2656852204111488, stepsize: 0.1824800363140075
it: 87, loss: 2.3563244869332514, stepsize: 0.16423203268260675
it: 88, loss: 1.3402903072418293, stepsize: 0.16423203268260675
it: 89, loss: 2.2369649730344205, stepsize: 0.1478088294143461
it: 90, loss: 1.528717613600964, stepsize: 0.1478088294143461
it: 91, loss: 1.8274374917468488, stepsize: 0.13302794647291147
it: 92, loss: 1.0891061075080757, stepsize: 0.13302794647291147
it: 93, loss: 1.4770614323341398, stepsize: 0.11972515182562032
it: 94, loss: 0.8393871662839135, stepsize: 0.11972515182562032
it: 95, loss: 1.74951933081444, stepsize: 0.10775263664305829
it: 96, loss: 0.8126290025535863, stepsize: 0.10775263664305829
it: 97, loss: 1.3314078787037638, stepsize: 0.09697737297875247
it: 98, loss: 0.856141590721164, stepsize: 0.09697737297875247
it: 99, loss: 1.8174743862991738, stepsize: 0.08727963568087722
it: 100, loss: 0.8706044950428309, stepsize: 0.08727963568087722
it: 101, loss: 1.4968397150528598, stepsize: 0.0785516721127895
it: 102, loss: 0.9932595514935849, stepsize: 0.0785516721127895
it: 103, loss: 0.9581676957559614, stepsize: 0.0785516721127895
it: 104, loss: 1.0367637978478492, stepsize: 0.07069650490151055
it: 105, loss: 0.9287798051484752, stepsize: 0.07069650490151055
it: 106, loss: 0.6991627576471704, stepsize: 0.07069650490151055
it: 107, loss: 0.8852071901533873, stepsize: 0.0636268544113595
