2019-05-19 15:09:42
sign_sgd_majority_one-point_log-reg_var-step_20_10,0_1
it: 0, loss: 204770.47855261894, stepsize: 10.0
it: 1, loss: 150228.75631599946, stepsize: 10.0
it: 2, loss: 118003.95938592554, stepsize: 7.071067811865475
it: 3, loss: 95277.37478238161, stepsize: 5.773502691896258
it: 4, loss: 78162.64192091595, stepsize: 5.0
it: 5, loss: 64662.79622342018, stepsize: 4.47213595499958
it: 6, loss: 53905.84422395288, stepsize: 4.08248290463863
it: 7, loss: 45067.04065208683, stepsize: 3.779644730092272
it: 8, loss: 37836.359167114686, stepsize: 3.5355339059327373
it: 9, loss: 31687.62569212964, stepsize: 3.3333333333333335
it: 10, loss: 26553.586582209988, stepsize: 3.162277660168379
it: 11, loss: 22132.0577885652, stepsize: 3.015113445777636
it: 12, loss: 18439.81923645926, stepsize: 2.886751345948129
it: 13, loss: 15256.57215125016, stepsize: 2.773500981126146
it: 14, loss: 12597.97830409468, stepsize: 2.6726124191242437
it: 15, loss: 10292.233852145235, stepsize: 2.581988897471611
it: 16, loss: 8396.373344428368, stepsize: 2.5
it: 17, loss: 6740.592876850053, stepsize: 2.42535625036333
it: 18, loss: 5405.299052324353, stepsize: 2.3570226039551585
it: 19, loss: 4230.816614175366, stepsize: 2.2941573387056176
it: 20, loss: 3297.891363114215, stepsize: 2.23606797749979
it: 21, loss: 2478.795146916048, stepsize: 2.182178902359924
it: 22, loss: 1864.3162843250755, stepsize: 2.1320071635561044
it: 23, loss: 1343.2586835666175, stepsize: 2.0851441405707476
it: 24, loss: 985.7667826070023, stepsize: 2.041241452319315
it: 25, loss: 668.0311227006335, stepsize: 2.0
it: 26, loss: 465.35143279595434, stepsize: 1.9611613513818404
it: 27, loss: 284.7660518433456, stepsize: 1.9245008972987525
it: 28, loss: 197.60787393553235, stepsize: 1.889822365046136
it: 29, loss: 110.45185843783207, stepsize: 1.8569533817705188
it: 30, loss: 95.19835573686598, stepsize: 1.8257418583505538
it: 31, loss: 62.379521053683725, stepsize: 1.7960530202677492
it: 32, loss: 80.99384357227609, stepsize: 1.7677669529663687
it: 33, loss: 59.37624681953615, stepsize: 1.7407765595569784
it: 34, loss: 77.08865948729591, stepsize: 1.7149858514250882
it: 35, loss: 55.643807046992194, stepsize: 1.6903085094570331
it: 36, loss: 78.92826484015193, stepsize: 1.6666666666666667
it: 37, loss: 53.42655132619608, stepsize: 1.643989873053573
it: 38, loss: 70.59613328505851, stepsize: 1.6222142113076254
it: 39, loss: 50.87906875890508, stepsize: 1.6012815380508714
it: 40, loss: 66.58644983681639, stepsize: 1.5811388300841895
it: 41, loss: 51.000346985183725, stepsize: 1.5617376188860608
it: 42, loss: 66.47261484698733, stepsize: 1.543033499620919
it: 43, loss: 46.467789025912936, stepsize: 1.5249857033260468
it: 44, loss: 61.66810386292659, stepsize: 1.507556722888818
it: 45, loss: 45.5321873665136, stepsize: 1.4907119849998598
it: 46, loss: 59.60922483590274, stepsize: 1.4744195615489712
it: 47, loss: 43.2082979462702, stepsize: 1.4586499149789456
it: 48, loss: 57.474482682458714, stepsize: 1.4433756729740645
it: 49, loss: 41.854605744389254, stepsize: 1.4285714285714286
it: 50, loss: 56.23946289225053, stepsize: 1.414213562373095
it: 51, loss: 40.34516449756919, stepsize: 1.4002800840280096
it: 52, loss: 52.43344660287192, stepsize: 1.386750490563073
it: 53, loss: 39.12052519647777, stepsize: 1.3736056394868903
it: 54, loss: 52.683135076232375, stepsize: 1.3608276348795434
it: 55, loss: 37.651497512746, stepsize: 1.348399724926484
it: 56, loss: 54.76312804281455, stepsize: 1.3363062095621219
it: 57, loss: 36.94416508477524, stepsize: 1.3245323570650438
it: 58, loss: 48.4826518685184, stepsize: 1.3130643285972254
it: 59, loss: 35.52970555910947, stepsize: 1.3018891098082388
it: 60, loss: 49.151035260151204, stepsize: 1.2909944487358056
it: 61, loss: 36.491636950180904, stepsize: 1.2803687993289599
it: 62, loss: 45.41276258314214, stepsize: 1.270001270001905
it: 63, loss: 33.39290888408436, stepsize: 1.259881576697424
it: 64, loss: 43.68507070032673, stepsize: 1.25
it: 65, loss: 32.80048554098479, stepsize: 1.2403473458920846
it: 66, loss: 45.500059177159294, stepsize: 1.2309149097933272
it: 67, loss: 34.90709921942085, stepsize: 1.2216944435630521
it: 68, loss: 41.7705317337766, stepsize: 1.212678125181665
it: 69, loss: 30.915103467849907, stepsize: 1.203858530857692
it: 70, loss: 45.53136595732465, stepsize: 1.1952286093343936
it: 71, loss: 30.263384690110122, stepsize: 1.1867816581938533
it: 72, loss: 40.3585531734122, stepsize: 1.1785113019775793
it: 73, loss: 30.31546016026991, stepsize: 1.1704114719613057
it: 74, loss: 40.293769283060605, stepsize: 1.162476387438193
it: 75, loss: 31.33162376255797, stepsize: 1.1547005383792515
it: 76, loss: 38.32504777586217, stepsize: 1.1470786693528088
it: 77, loss: 28.674646724683083, stepsize: 1.1396057645963795
it: 78, loss: 37.336893276760584, stepsize: 1.1322770341445956
it: 79, loss: 27.048837780391857, stepsize: 1.125087900926024
it: 80, loss: 37.95777996743897, stepsize: 1.118033988749895
it: 81, loss: 26.874239736244917, stepsize: 1.1111111111111112
it: 82, loss: 36.280269282288536, stepsize: 1.1043152607484654
it: 83, loss: 26.320280497493567, stepsize: 1.0976425998969035
it: 84, loss: 34.732243536534426, stepsize: 1.091089451179962
it: 85, loss: 25.70289707978812, stepsize: 1.0846522890932808
it: 86, loss: 35.420579704822956, stepsize: 1.078327732034384
it: 87, loss: 25.137784235299346, stepsize: 1.0721125348377947
it: 88, loss: 32.82069418165125, stepsize: 1.0660035817780522
it: 89, loss: 24.943878001884737, stepsize: 1.05999788000636
it: 90, loss: 32.376780789800435, stepsize: 1.0540925533894598
it: 91, loss: 24.87936854645146, stepsize: 1.0482848367219184
it: 92, loss: 32.94979389057559, stepsize: 1.0425720702853738
it: 93, loss: 23.60987507672737, stepsize: 1.0369516947304254
it: 94, loss: 35.96827899820152, stepsize: 1.0314212462587933
it: 95, loss: 22.939927142386022, stepsize: 1.0259783520851542
it: 96, loss: 30.832337621194466, stepsize: 1.0206207261596576
it: 97, loss: 23.926265133803362, stepsize: 1.015346165133619
it: 98, loss: 30.030546899570766, stepsize: 1.0101525445522108
it: 99, loss: 22.116548291703868, stepsize: 1.005037815259212
it: 100, loss: 30.52313643379502, stepsize: 1.0
it: 101, loss: 22.029742768097734, stepsize: 0.9950371902099892
it: 102, loss: 28.315121275992034, stepsize: 0.9901475429766744
it: 103, loss: 21.341859219698957, stepsize: 0.9853292781642932
it: 104, loss: 30.195980722036815, stepsize: 0.9805806756909202
it: 105, loss: 21.34505176586275, stepsize: 0.9759000729485332
it: 106, loss: 28.64251829214508, stepsize: 0.9712858623572641
it: 107, loss: 21.213773412094106, stepsize: 0.9667364890456636
it: 108, loss: 28.190928176640735, stepsize: 0.9622504486493763
it: 109, loss: 25.402942101912497, stepsize: 0.9578262852211513
it: 110, loss: 26.84281733536171, stepsize: 0.9534625892455924
it: 111, loss: 20.13493748614755, stepsize: 0.949157995752499
it: 112, loss: 27.831455067931813, stepsize: 0.944911182523068
