2019-05-15 16:35:23
sign_sgd_majority_two-point_log-reg_fix-step_3_10,0_1
it: 0, loss: inf, stepsize: 10.0
it: 1, loss: 132911.6980360291, stepsize: 10.0
it: 2, loss: 94432.33660507476, stepsize: 10.0
it: 3, loss: 64347.37985502395, stepsize: 10.0
it: 4, loss: 41561.89734917656, stepsize: 10.0
it: 5, loss: 24955.05835763838, stepsize: 10.0
it: 6, loss: 13597.02163932757, stepsize: 10.0
it: 7, loss: 6805.658281154753, stepsize: 10.0
it: 8, loss: 3065.9757403737703, stepsize: 10.0
it: 9, loss: 2082.3951567816284, stepsize: 10.0
it: 10, loss: 1705.6244750937365, stepsize: 10.0
it: 11, loss: 1705.6244750937365, stepsize: 9.0
it: 12, loss: 1540.0039357450619, stepsize: 9.0
it: 13, loss: 1540.0039357450619, stepsize: 8.100000000000001
it: 14, loss: 1185.2676300579685, stepsize: 8.100000000000001
it: 15, loss: 1185.2676300579685, stepsize: 7.290000000000001
it: 16, loss: 1103.423107198074, stepsize: 7.290000000000001
it: 17, loss: 1095.6897986316756, stepsize: 7.290000000000001
it: 18, loss: 1095.6897986316756, stepsize: 6.561
it: 19, loss: 833.6268504471644, stepsize: 6.561
it: 20, loss: 833.6268504471644, stepsize: 5.9049000000000005
it: 21, loss: 693.8211381297057, stepsize: 5.9049000000000005
it: 22, loss: 693.8211381297057, stepsize: 5.3144100000000005
it: 23, loss: 605.278794559569, stepsize: 5.3144100000000005
it: 24, loss: 605.278794559569, stepsize: 4.7829690000000005
it: 25, loss: 481.53149548307965, stepsize: 4.7829690000000005
it: 26, loss: 481.53149548307965, stepsize: 4.304672100000001
it: 27, loss: 421.60823747236395, stepsize: 4.304672100000001
it: 28, loss: 420.70503446868673, stepsize: 4.304672100000001
it: 29, loss: 420.70503446868673, stepsize: 3.874204890000001
it: 30, loss: 319.5890543173349, stepsize: 3.874204890000001
it: 31, loss: 319.5890543173349, stepsize: 3.486784401000001
it: 32, loss: 292.50854171820674, stepsize: 3.486784401000001
it: 33, loss: 290.06510826703146, stepsize: 3.486784401000001
it: 34, loss: 285.57799936607796, stepsize: 3.486784401000001
it: 35, loss: 285.57799936607796, stepsize: 3.138105960900001
it: 36, loss: 221.5782237342187, stepsize: 3.138105960900001
it: 37, loss: 221.5782237342187, stepsize: 2.824295364810001
it: 38, loss: 185.41004219113972, stepsize: 2.824295364810001
it: 39, loss: 185.41004219113972, stepsize: 2.5418658283290005
it: 40, loss: 148.84521328934377, stepsize: 2.5418658283290005
it: 41, loss: 148.84521328934377, stepsize: 2.287679245496101
it: 42, loss: 122.57693786345015, stepsize: 2.287679245496101
it: 43, loss: 122.57693786345015, stepsize: 2.058911320946491
it: 44, loss: 105.83672771351593, stepsize: 2.058911320946491
it: 45, loss: 105.83672771351593, stepsize: 1.8530201888518416
it: 46, loss: 84.46428254270731, stepsize: 1.8530201888518416
it: 47, loss: 84.46428254270731, stepsize: 1.6677181699666577
it: 48, loss: 69.83902940802933, stepsize: 1.6677181699666577
it: 49, loss: 68.92813988506558, stepsize: 1.6677181699666577
it: 50, loss: 68.92813988506558, stepsize: 1.5009463529699918
it: 51, loss: 56.047719567425354, stepsize: 1.5009463529699918
it: 52, loss: 56.047719567425354, stepsize: 1.3508517176729928
it: 53, loss: 44.292829276969385, stepsize: 1.3508517176729928
it: 54, loss: 44.292829276969385, stepsize: 1.2157665459056934
it: 55, loss: 37.932002912829944, stepsize: 1.2157665459056934
it: 56, loss: 37.932002912829944, stepsize: 1.0941898913151242
it: 57, loss: 32.748332606479764, stepsize: 1.0941898913151242
it: 58, loss: 32.570365692948094, stepsize: 1.0941898913151242
it: 59, loss: 30.45871301472859, stepsize: 1.0941898913151242
it: 60, loss: 30.45871301472859, stepsize: 0.9847709021836117
it: 61, loss: 25.984126117827287, stepsize: 0.9847709021836117
it: 62, loss: 25.984126117827287, stepsize: 0.8862938119652507
it: 63, loss: 20.99452706949005, stepsize: 0.8862938119652507
it: 64, loss: 20.99452706949005, stepsize: 0.7976644307687255
it: 65, loss: 16.549742184913615, stepsize: 0.7976644307687255
it: 66, loss: 16.549742184913615, stepsize: 0.717897987691853
it: 67, loss: 13.668692713745724, stepsize: 0.717897987691853
it: 68, loss: 13.668692713745724, stepsize: 0.6461081889226677
it: 69, loss: 13.668692713745724, stepsize: 0.5814973700304009
it: 70, loss: 10.703439023801735, stepsize: 0.5814973700304009
it: 71, loss: 7.63232133713884, stepsize: 0.5814973700304009
it: 72, loss: 7.63232133713884, stepsize: 0.523347633027361
it: 73, loss: 7.63232133713884, stepsize: 0.47101286972462486
it: 74, loss: 5.991334387007972, stepsize: 0.47101286972462486
it: 75, loss: 5.991334387007972, stepsize: 0.42391158275216234
it: 76, loss: 5.72212457980574, stepsize: 0.42391158275216234
it: 77, loss: 5.446756628120028, stepsize: 0.42391158275216234
it: 78, loss: 5.446756628120028, stepsize: 0.3815204244769461
it: 79, loss: 4.469218562790086, stepsize: 0.3815204244769461
it: 80, loss: 4.42546350428784, stepsize: 0.3815204244769461
it: 81, loss: 4.42546350428784, stepsize: 0.3433683820292515
it: 82, loss: 4.42546350428784, stepsize: 0.30903154382632636
it: 83, loss: 3.2319892886183648, stepsize: 0.30903154382632636
it: 84, loss: 3.2319892886183648, stepsize: 0.2781283894436937
it: 85, loss: 2.523774683111092, stepsize: 0.2781283894436937
it: 86, loss: 2.523774683111092, stepsize: 0.25031555049932436
it: 87, loss: 2.1440237552664976, stepsize: 0.25031555049932436
it: 88, loss: 2.1440237552664976, stepsize: 0.22528399544939195
it: 89, loss: 1.9898833994169687, stepsize: 0.22528399544939195
it: 90, loss: 1.9898833994169687, stepsize: 0.20275559590445275
it: 91, loss: 1.8773592658524292, stepsize: 0.20275559590445275
it: 92, loss: 1.7747033306009317, stepsize: 0.20275559590445275
it: 93, loss: 1.7747033306009317, stepsize: 0.1824800363140075
it: 94, loss: 1.7747033306009317, stepsize: 0.16423203268260675
it: 95, loss: 1.7747033306009317, stepsize: 0.1478088294143461
it: 96, loss: 1.3526343664958276, stepsize: 0.1478088294143461
it: 97, loss: 1.1122456970668257, stepsize: 0.1478088294143461
it: 98, loss: 1.1122456970668257, stepsize: 0.13302794647291147
it: 99, loss: 1.1122456970668257, stepsize: 0.11972515182562032
it: 100, loss: 1.1122456970668257, stepsize: 0.10775263664305829
it: 101, loss: 1.0385016931173667, stepsize: 0.10775263664305829
it: 102, loss: 1.0385016931173667, stepsize: 0.09697737297875247
it: 103, loss: 1.0385016931173667, stepsize: 0.08727963568087722
it: 104, loss: 1.0385016931173667, stepsize: 0.0785516721127895
it: 105, loss: 0.9120945896755539, stepsize: 0.0785516721127895
it: 106, loss: 0.8817211441065707, stepsize: 0.0785516721127895
it: 107, loss: 0.8817211441065707, stepsize: 0.07069650490151055
it: 108, loss: 0.8683945488647972, stepsize: 0.07069650490151055
