2019-05-15 16:35:21
sign_sgd_majority_two-point_log-reg_var-step_3_10,0_1
it: 0, loss: inf, stepsize: 10.0
it: 1, loss: 132911.6980360291, stepsize: 10.0
it: 2, loss: 104542.7757567351, stepsize: 7.071067811865475
it: 3, loss: 84761.29693894275, stepsize: 5.773502691896258
it: 4, loss: 69708.26543099163, stepsize: 5.0
it: 5, loss: 57953.85005368735, stepsize: 4.47213595499958
it: 6, loss: 48375.53877606899, stepsize: 4.08248290463863
it: 7, loss: 40563.51609742008, stepsize: 3.779644730092272
it: 8, loss: 33962.36506704249, stepsize: 3.5355339059327373
it: 9, loss: 28490.643942683393, stepsize: 3.3333333333333335
it: 10, loss: 23793.41893614093, stepsize: 3.162277660168379
it: 11, loss: 19876.905204756953, stepsize: 3.015113445777636
it: 12, loss: 16480.07422187452, stepsize: 2.886751345948129
it: 13, loss: 13691.204717081495, stepsize: 2.773500981126146
it: 14, loss: 11261.066365547278, stepsize: 2.6726124191242437
it: 15, loss: 9240.137744619788, stepsize: 2.581988897471611
it: 16, loss: 7458.98206141255, stepsize: 2.5
it: 17, loss: 6026.403158119383, stepsize: 2.42535625036333
it: 18, loss: 4772.429330792253, stepsize: 2.3570226039551585
it: 19, loss: 3786.515824786527, stepsize: 2.2941573387056176
it: 20, loss: 2922.075181687878, stepsize: 2.23606797749979
it: 21, loss: 2275.6834529102553, stepsize: 2.182178902359924
it: 22, loss: 1703.0258272060782, stepsize: 2.1320071635561044
it: 23, loss: 1296.6446025419573, stepsize: 2.0851441405707476
it: 24, loss: 916.0187123708823, stepsize: 2.041241452319315
it: 25, loss: 669.2422990552745, stepsize: 2.0
it: 26, loss: 439.2241034744988, stepsize: 1.9611613513818404
it: 27, loss: 317.01923123774327, stepsize: 1.9245008972987525
it: 28, loss: 192.26687745359436, stepsize: 1.889822365046136
it: 29, loss: 139.95201766841717, stepsize: 1.8569533817705188
it: 30, loss: 82.77172255148027, stepsize: 1.8257418583505538
it: 31, loss: 82.77172255148027, stepsize: 1.7960530202677492
it: 32, loss: 82.77172255148027, stepsize: 1.7677669529663687
it: 33, loss: 82.77172255148027, stepsize: 1.7407765595569784
it: 34, loss: 79.28421395293772, stepsize: 1.7149858514250882
it: 35, loss: 55.4192341451304, stepsize: 1.6903085094570331
it: 36, loss: 55.4192341451304, stepsize: 1.6666666666666667
it: 37, loss: 55.4192341451304, stepsize: 1.643989873053573
it: 38, loss: 55.4192341451304, stepsize: 1.6222142113076254
it: 39, loss: 55.4192341451304, stepsize: 1.6012815380508714
it: 40, loss: 55.4192341451304, stepsize: 1.5811388300841895
it: 41, loss: 55.4192341451304, stepsize: 1.5617376188860608
it: 42, loss: 55.4192341451304, stepsize: 1.543033499620919
it: 43, loss: 55.4192341451304, stepsize: 1.5249857033260468
it: 44, loss: 55.4192341451304, stepsize: 1.507556722888818
it: 45, loss: 55.4192341451304, stepsize: 1.4907119849998598
it: 46, loss: 55.4192341451304, stepsize: 1.4744195615489712
it: 47, loss: 55.4192341451304, stepsize: 1.4586499149789456
it: 48, loss: 52.75127551771435, stepsize: 1.4433756729740645
it: 49, loss: 46.21433295179928, stepsize: 1.4285714285714286
it: 50, loss: 46.21433295179928, stepsize: 1.414213562373095
it: 51, loss: 46.21433295179928, stepsize: 1.4002800840280096
it: 52, loss: 46.21433295179928, stepsize: 1.386750490563073
it: 53, loss: 46.21433295179928, stepsize: 1.3736056394868903
it: 54, loss: 46.07766930144987, stepsize: 1.3608276348795434
it: 55, loss: 41.16305658346599, stepsize: 1.348399724926484
it: 56, loss: 41.16305658346599, stepsize: 1.3363062095621219
it: 57, loss: 41.16305658346599, stepsize: 1.3245323570650438
it: 58, loss: 41.16305658346599, stepsize: 1.3130643285972254
it: 59, loss: 41.16305658346599, stepsize: 1.3018891098082388
it: 60, loss: 41.16305658346599, stepsize: 1.2909944487358056
it: 61, loss: 40.9353688748356, stepsize: 1.2803687993289599
it: 62, loss: 40.9353688748356, stepsize: 1.270001270001905
it: 63, loss: 36.58719970806355, stepsize: 1.259881576697424
it: 64, loss: 36.58719970806355, stepsize: 1.25
it: 65, loss: 36.58719970806355, stepsize: 1.2403473458920846
it: 66, loss: 36.58719970806355, stepsize: 1.2309149097933272
it: 67, loss: 36.27509090178034, stepsize: 1.2216944435630521
it: 68, loss: 34.93218848326642, stepsize: 1.212678125181665
it: 69, loss: 34.93218848326642, stepsize: 1.203858530857692
it: 70, loss: 34.93218848326642, stepsize: 1.1952286093343936
it: 71, loss: 34.93218848326642, stepsize: 1.1867816581938533
it: 72, loss: 34.93218848326642, stepsize: 1.1785113019775793
it: 73, loss: 34.33573437132318, stepsize: 1.1704114719613057
it: 74, loss: 34.33573437132318, stepsize: 1.162476387438193
it: 75, loss: 32.16935725208257, stepsize: 1.1547005383792515
it: 76, loss: 32.16935725208257, stepsize: 1.1470786693528088
it: 77, loss: 32.16935725208257, stepsize: 1.1396057645963795
it: 78, loss: 32.16935725208257, stepsize: 1.1322770341445956
it: 79, loss: 32.16935725208257, stepsize: 1.125087900926024
it: 80, loss: 30.968229256288872, stepsize: 1.118033988749895
it: 81, loss: 30.968229256288872, stepsize: 1.1111111111111112
it: 82, loss: 30.968229256288872, stepsize: 1.1043152607484654
it: 83, loss: 30.968229256288872, stepsize: 1.0976425998969035
it: 84, loss: 30.968229256288872, stepsize: 1.091089451179962
it: 85, loss: 29.220944861591107, stepsize: 1.0846522890932808
it: 86, loss: 29.220944861591107, stepsize: 1.078327732034384
it: 87, loss: 28.604297175961015, stepsize: 1.0721125348377947
it: 88, loss: 28.604297175961015, stepsize: 1.0660035817780522
it: 89, loss: 28.461926695787714, stepsize: 1.05999788000636
it: 90, loss: 28.205910393411052, stepsize: 1.0540925533894598
it: 91, loss: 28.205910393411052, stepsize: 1.0482848367219184
it: 92, loss: 27.630655979213078, stepsize: 1.0425720702853738
it: 93, loss: 27.630655979213078, stepsize: 1.0369516947304254
it: 94, loss: 27.630655979213078, stepsize: 1.0314212462587933
it: 95, loss: 27.630655979213078, stepsize: 1.0259783520851542
it: 96, loss: 27.1161718416806, stepsize: 1.0206207261596576
it: 97, loss: 26.737459905943215, stepsize: 1.015346165133619
it: 98, loss: 26.737459905943215, stepsize: 1.0101525445522108
it: 99, loss: 25.86160016093444, stepsize: 1.005037815259212
it: 100, loss: 25.86160016093444, stepsize: 1.0
it: 101, loss: 25.86160016093444, stepsize: 0.9950371902099892
it: 102, loss: 25.86160016093444, stepsize: 0.9901475429766744
it: 103, loss: 25.86160016093444, stepsize: 0.9853292781642932
it: 104, loss: 25.86160016093444, stepsize: 0.9805806756909202
it: 105, loss: 24.381503734021308, stepsize: 0.9759000729485332
it: 106, loss: 23.81014046218551, stepsize: 0.9712858623572641
it: 107, loss: 23.81014046218551, stepsize: 0.9667364890456636
it: 108, loss: 23.81014046218551, stepsize: 0.9622504486493763
